,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,fax,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid
0,55144-1000,Industrials,95000.0,"3M Company operates as a diversified technology company worldwide. It operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers food safety indicator solutions; health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is based in St. Paul, Minnesota.",Saint Paul,651 733 1110,MN,United States,[],https://www.3m.com,1,3M Center,Conglomerates,0.20048,0.18913999,0.44353,5673999872,-0.036,0.14645,6968999936,110.0,hold,16579000000,2674249984,124.0,120.65,1.763,1.561,0.06737,17,129.01,117.484,0.45931998,210.0,3588999936,16631000064,34761998336,6.493,USD,60.794,0.871,3.2,NYQ,3M Company,3M Company,America/New_York,EST,False,-18000000,EQUITY,MMM,finmb_289194,us_market,,2.296,,11.452,-0.301794,,10.24,,552742976,,,,25.473,13605545,0.024600001,,1640908800,0.68027997,6575000064,11.46,1.49,-0.09920794,4.7363877,0.0011,1672444800,,1664496000,4.61,1669766400,552184645,0.986396,79806431232,2,,1064880000,2:1,,1668643200,,1.691,1.9184295,1672358400,-15.72,,11.782227,,0.024600001,13054280,0,,,118.43,118.55,131.8589,0.050240647,0.51919997,,120.71,,2960460,118.43,125.3316,5.95,118.55,,2960460,,,5.96,1668643200,,,116.76,USD,10.527924,4345461,,,,66688442368,,,2854909,116.76,120.98,900,4345461,175.25,,3.38,107.07,120.2,False,0.0494,900,120.71,,120.65,,https://logo.clearbit.com/3m.com,1.9045,,,,,,
1,53224-9508,Industrials,13700.0,"A. O. Smith Corporation manufactures and markets residential and commercial gas, heat pump and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; commercial boilers for hospitals, schools, hotels, and other large commercial buildings, as well as residential boilers for homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, on-the-go filtration bottles, point-of-use carbon, and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, electric wall-hung, gas tankless, combi-boiler, heat pump and solar water heaters. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 359 4000,WI,United States,[],https://www.aosmith.com,1,11270 West Park Place,Specialty Industrial Machinery,0.18771,0.12991,0.35182,479000000,-0.044,0.16768,715800000,55.0,hold,1310900000,223700000,60.0,59.15,-0.134,1.742,0.12236,9,60.78,18.349,0.27188,65.0,417100000,320700000,3813299968,2.73,USD,24.383,1.089,2.9,NYQ,A.O. Smith Corporation,A. O. Smith Corporation,America/New_York,EST,False,-18000000,EQUITY,AOS,finmb_997111,us_market,,2.344,,12.49,-0.2491749,,3.2,,126870000,,,,11.44,5824941,0.0381,,1640908800,0.99763,495400000,3.14,0.3,-0.09920794,5.170455,0.0074,1672444800,,1664496000,5.47,1669766400,124655664,1.2173,8940272640,2,,1475712000,2:1,,1666915200,,-0.166,2.3697848,1672358400,2.35,,18.484375,,0.0525,5663726,0,,,57.79,58.12,57.8471,0.019380515,0.35669997,,59.17,,1196380,57.79,59.2358,1.12,58.12,,1196380,,,1.2,1675036800,,,57.45,USD,18.83758,1184995,,,,9036700672,,,1106926,57.45,60.83,1000,1184995,78.96,,1.68,46.58,58.94,False,0.020299999,800,59.17,,59.15,,https://logo.clearbit.com/aosmith.com,1.9117,Suite 170 PO Box 245008,,,,,
2,60064-6400,Healthcare,113000.0,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.30398,0.17518999,0.58163,10321999872,-0.047,0.22974001,13688000512,92.0,buy,25009000000,7563250176,122.0,112.82,-0.308,1.859,0.08821,21,119.78,46.204,0.22373,144.0,9907000320,16579999744,45029998592,5.682,USD,25.592,1.221,2.0,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,False,-18000000,EQUITY,ABT,finmb_247483,us_market,,4.521,,14.874,-0.08883864,,4.4,,1743570048,,,,20.461,16676855,0.0095999995,,1640908800,0.7618,7856999936,4.43,0.51,-0.09920794,5.5139046,0.0073400005,1672444800,,1664496000,3.51,1669766400,1730462102,0.667596,203591991296,2,,1357084800,10000:4798,,1673481600,,-0.317,4.3684115,1672358400,2.58,,25.64091,,0.0098,15744197,0,,,111.8,112.2,108.0289,0.016815742,0.41990003,,113.035,,5327420,111.8,107.7188,1.88,112.2,,5327420,,,2.04,1673481600,,,111.65,USD,25.46727,4427139,,,,196709564416,,,5059178,111.65,111.1,1800,4427139,130.94,,1.53,93.25,110.5,False,0.018099999,800,113.035,,112.82,,https://logo.clearbit.com/abbott.com,,Abbott Park,,,,,
3,60064-6400,Healthcare,50000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.51542,0.23188,0.69832003,22589999104,0.033,0.37206,29801000960,135.0,buy,38883000000,20200499200,163.55,149.59,0.242,0.928,0.09267,24,162.59,436.757,0.90650004,200.0,11880999936,69999001600,57819000832,6.718,USD,32.638,0.692,2.3,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,False,-18000000,EQUITY,ABBV,finmb_141885706,us_market,,5.581,,10.828,0.13188565,,11.7,,1768480000,,,,9.044,12927640,0.0073,,1640908800,0.70839,13342999552,7.5,1.48,-0.09920794,16.540247,0.0011100001,1672444800,,1664496000,2.48,1669766400,1766535179,0.623997,322697986048,2,,,,,1673481600,,0.242,4.575432,1672358400,-5.78,,12.78547,,0.0073,13661840,0,,,148.71,149.43,150.1697,0.037926164,0.73730004,,149.71,,6897060,148.71,158.8052,5.64,149.43,,6897060,,,5.92,1673481600,,,147.15,USD,19.945333,7008263,,,,264546910208,,,5566926,147.15,149.75,900,7008263,175.91,,4.36,128.26,149.4,False,0.0396,900,149.71,,149.59,,https://logo.clearbit.com/abbvie.com,,,,,,,
4,D02 P820,Technology,738000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.16955,0.11304,0.32016,9505655808,0.052,0.15272,10576087040,245.0,buy,19701539000,7831668224,309.0,280.47,0.108,1.256,0.13114999,22,313.45,13.944,0.32129002,375.0,5903797760,3300047104,62376955904,9.375,USD,98.662,1.125,2.1,NYQ,Accenture plc,Accenture plc,America/New_York,EST,False,-18000000,EQUITY,ACN,finmb_972190,us_market,,2.801,,16.519,-0.17265487,,12.55,,629740032,,,,36.5,4485410,0.0070999996,,1661904000,0.75289,7051095040,11.01,1.12,-0.09920794,7.6841097,0.00139,1693440000,,1669766400,1.85,1669766400,628827019,1.235437,174710800384,2,,,,,1673395200,,0.097,2.8338296,1672358400,2.29,,22.348207,,0.0070999996,5380589,0,,,272.89,274.5,287.24985,0.015317526,0.366,,281.07,,2328670,272.89,280.9426,4.18,274.5,,2328670,,,4.48,1673395200,,,272.805,USD,25.474113,3292209,,,,176765665280,,,2173821,272.805,285.5,900,3292209,360.1,,1.4,242.95,279.78,False,0.016,1000,281.07,,280.47,,https://logo.clearbit.com/accenture.com,,Grand Canal Harbour,353 1 646 2020,,,,
5,90404,Communication Services,9800.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. The company is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],https://www.activisionblizzard.com,1,2701 Olympic Boulevard Building B,Electronic Gaming & Multimedia,0.29564,0.22754,0.71129,1758000000,-0.139,0.28123,2175000064,78.0,buy,6486000000,1273624960,95.0,73.84,-0.329,5.755,0.05215,24,92.29,19.194,0.09363,100.0,10908000256,3609999872,7357000192,13.938,USD,9.432,5.077,2.1,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EST,False,-18000000,EQUITY,ATVI,finmb_4222231,us_market,,6.863,,23.214,-0.07665372,,3.9,,782625024,,,,24.034,17301251,0.0221,,1640908800,0.84628,1674000000,2.13,0.47,-0.09920794,3.072314,0.008640001,1672444800,,1664496000,2.62,1669766400,716203908,0.427624,50491052032,2,,1220832000,2:1,,1649808000,,-0.319,7.854972,1672358400,3.22,,18.933332,,0.0223,14398052,0,,,73.76,73.52,76.70635,0.0063720173,0.2207,,74.005,,6390900,73.76,75.4606,0.47,73.52,,6390900,,,0.47,1649808000,,,73.395,USD,34.666664,7349366,,,,57789030400,,,6354263,73.395,74.0,800,7349366,82.0,,0.59,70.94,73.9,False,0.0064,1100,74.005,,73.84,,https://logo.clearbit.com/activisionblizzard.com,58.9287,,,,,,
6,60601,Consumer Defensive,39218.0,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, Cayman Islands, Brazil, Mexico, the United Kingdom, and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal; distillers' grains; and citric acids. Additionally, the company provides natural flavors, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant; commodity brokerage services; cash margins and securities pledged to commodity exchange clearinghouses; and cash pledged as security under certain insurance arrangements. The company was founded in 1902 and is headquartered in Chicago, Illinois.",Chicago,312 634 8100,IL,United States,[],https://www.adm.com,1,77 West Wacker Drive,Farm Products,0.053460002,0.04157,0.07556,4089999872,0.214,0.04302,5277000192,90.0,buy,5987000000,1285874944,102.0,84.75,0.968,1.507,0.047989998,12,102.83,40.059,0.17785,117.0,1204000000,9742000128,98706997248,2.192,USD,174.78,0.355,2.2,NYQ,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,America/New_York,EST,False,-18000000,EQUITY,ADM,finmb_251704,us_market,,0.561,,10.501,0.23560286,,6.61,,549334016,,,,43.71,6985942,0.0127,,1640908800,0.81654,4103000064,7.25,0.4,-0.09920794,1.9389156,0.00504,1672444800,,1664496000,2.59,1669766400,546351342,0.84339,55416074240,2,,999129600,105:100,,1668470400,,0.96,0.47165915,1672358400,1.33,,12.821483,,0.0143,7346925,0,,,85.31,85.39,87.23205,0.01840347,0.2166,,85.625,,3816890,85.31,92.0362,1.57,85.39,,3816890,,,1.6,1668470400,,,83.96,USD,11.689655,7417816,,,,46556057600,,,2889306,83.96,84.78,800,7417816,98.88,,2.75,65.64,84.0,False,0.0189,800,85.625,,84.75,,https://logo.clearbit.com/adm.com,15.0923,Suite 4600,,,,,
7,95110-2704,Technology,29239.0,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, students, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.38146,0.27014,0.87703,7838000128,0.101,0.34636003,6716000256,321.0,buy,15441000000,6272249856,390.0,356.38,-0.016,1.107,0.1401,31,385.97,32.973,0.32973,475.0,6096000000,4632999936,17606000640,13.316,USD,37.499,1.004,2.2,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EST,False,-18000000,EQUITY,ADBE,finmb_24321,us_market,,9.184,,24.075,-0.31420547,,17.52,,457800000,,,,30.413,4202652,0.009,,1669939200,0.86686,4755999744,10.51,0.0065,-0.09920794,11.718016,0.00336,1701475200,,1669939200,1.32,1669766400,456476958,1.220788,161687764992,2,,1116892800,2:1,,1111622400,,-0.046,9.266771,1672358400,1.65,,20.341324,,0.0091,3753959,0,,,342.53,343.27,365.5395,0.0,0.0,,357.42,,2427090,342.53,335.4958,0.0,343.27,,2427090,,,,1111622400,,,342.765,USD,33.908657,3149369,,,,163150774272,,,3092560,342.765,357.83,2900,3149369,540.46,,,274.73,356.02,False,,1100,357.42,,356.38,,https://logo.clearbit.com/adobe.com,1.4809,,408 537 6000,,,,
8,07068,Industrials,60000.0,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services, as well as integrated HCM solutions. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Roseland,973 974 5000,NJ,United States,[],https://www.adp.com,1,One ADP Boulevard,Staffing & Employment Services,0.26678,0.17933,0.45409,3695699968,0.1,0.23591,4503699968,213.0,hold,7447100000,6620100096,251.0,237.17,0.133,0.969,0.04681,17,252.71,139.499,0.76379997,285.0,1232099968,3594200064,16881600512,2.97,USD,40.474,0.107,3.0,NMS,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",America/New_York,EST,False,-18000000,EQUITY,ADP,finmb_126269,us_market,,5.968,,22.37,0.08673942,,8.98,,414828000,,,,6.205,5361161,0.0128999995,,1656547200,0.8307,3027399936,7.22,1.25,-0.09920794,38.2224,0.00113,1688083200,,1664496000,3.14,1669766400,414126710,0.864318,100746805248,2,,1412121600,1139:1000,,1670457600,,0.112,5.827928,1672358400,2.07,,26.410913,,0.0128999995,6297628,0,,,233.32,232.5,233.9589,0.01782959,0.5762,,237.71,,1738170,233.32,249.6544,4.16,232.5,,1738170,,,5.0,1678320000,,,232.26,USD,32.84903,1714502,,,,98384756736,,,1668834,232.26,236.92,800,1714502,274.92,,1.94,192.26,237.24,False,0.0211,1000,237.71,,237.17,,https://logo.clearbit.com/adp.com,2.8254,,,,,,
9,27604,Consumer Cyclical,41000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of April 23, 2022, it operated 4,687 stores and 311 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,318 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],https://www.advanceautoparts.com,1,4200 Six Forks Road,Specialty Retail,0.09142999,0.04304,0.44654,670419968,0.008,0.06612,1012868992,120.0,hold,4931356000,213340128,164.5,147.49,-0.313,1.132,0.03815,18,165.83,150.469,0.16129999,210.0,191204000,4086855936,11077951488,3.252,USD,181.297,0.19,2.6,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EST,False,-18000000,EQUITY,AAP,finmb_24333,us_market,,1.134,,12.407,-0.3664791,,13.15,,59253700,,,,45.856,3018233,0.0509,,1640995200,1.0240101,476844992,7.8,1.5,-0.09920794,3.2163732,0.00796,1672531200,,1665187200,3.07,1669766400,58579020,1.138821,12566252544,2,,1127692800,3:2,,1671062400,,-0.346,0.78889394,1672358400,0.9,,11.21597,,0.057600003,2789500,0,,,143.27,143.56,178.6423,0.038389053,0.7051,,147.55,,787770,143.27,152.0252,5.5,143.56,,787770,,,6.0,1671062400,,,142.86,USD,18.908974,944814,,,,8739329024,,,1049140,142.86,147.79,800,944814,237.39,,0.86,138.52,147.3,False,0.040700004,1000,147.55,,147.49,,https://logo.clearbit.com/advanceautoparts.com,0.9317,,,,,,
